Poor,Middle,Rich
141,83,26
126,65,59
122,97,31
134,92,24
126,91,33
121,111,18
144,97,9
155,81,14
133,96,21
147,85,18
147,83,20
156,75,19
153,77,20
152,79,19
161,72,17
166,67,17
174,62,14
171,65,14
179,57,14
179,56,15
185,50,15
182,53,15
188,48,14
188,48,14
187,50,13
185,52,13
187,49,14
187,48,15
188,46,16
191,43,16
192,42,16
192,42,16
192,43,15
190,45,15
190,45,15
188,47,15
185,51,14
186,49,15
189,47,14
188,47,15
193,42,15
194,41,15
195,41,14
194,41,15
194,41,15
193,41,16
191,42,17
192,42,16
192,42,16
195,41,14
193,45,12
189,49,12
191,48,11
191,47,12
193,45,12
192,46,12
192,47,11
191,48,11
189,52,9
189,52,9
192,49,9
191,49,10
190,51,9
192,48,10
191,49,10
190,51,9
190,52,8
189,53,8
192,51,7
193,50,7
194,49,7
196,49,5
197,48,5
198,47,5
199,46,5
201,45,4
201,45,4
203,43,4
204,42,4
204,43,3
203,45,2
207,41,2
207,42,1
200,40,10
205,35,10
204,37,9
207,35,8
209,32,9
208,33,9
210,31,9
210,32,8
209,33,8
212,30,8
212,33,5
215,30,5
216,29,5
218,27,5
219,26,5
219,27,4
204,37,9
204,38,8
206,36,8
207,36,7
207,35,8
210,32,8
205,35,10
204,36,10
204,36,10
205,37,8
201,37,12
199,41,10
200,40,10
202,39,9
203,39,8
204,38,8
205,37,8
207,35,8
205,38,7
206,38,6
196,47,7
198,44,8
199,42,9
199,43,8
200,42,8
202,40,8
206,36,8
204,39,7
205,38,7
202,40,8
202,40,8
201,40,9
193,45,12
190,48,12
190,48,12
191,46,13
194,43,13
196,43,11
195,46,9
200,43,7
191,50,9
195,46,9
197,45,8
198,45,7
195,48,7
196,47,7
198,45,7
199,44,7
203,41,6
205,40,5
205,41,4
204,42,4
205,41,4
208,38,4
208,38,4
209,37,4
211,35,4
213,33,4
213,33,4
214,32,4
216,30,4
218,28,4
218,28,4
217,29,4
218,29,3
218,29,3
218,29,3
220,28,2
215,32,3
216,31,3
216,31,3
217,30,3
216,32,2
218,31,1
187,48,15
190,46,14
185,53,12
188,50,12
190,48,12
194,44,12
196,43,11
197,43,10
197,43,10
196,43,11
199,42,9
200,41,9
201,41,8
193,46,11
192,47,11
192,48,10
194,45,11
196,44,10
194,46,10
196,46,8
195,47,8
196,47,7
192,50,8
192,50,8
193,51,6
186,53,11
187,52,11
191,49,10
193,48,9
195,45,10
195,46,9
195,45,10
199,43,8
200,41,9
200,42,8
202,40,8
203,40,7
205,40,5
200,43,7
202,40,8
202,41,7
201,40,9
202,39,9
202,41,7
203,40,7
203,40,7
203,40,7
204,39,7
203,40,7
205,38,7
207,37,6
210,33,7
211,34,5
213,33,4
215,31,4
217,29,4
218,28,4
218,30,2
200,37,13
204,34,12
203,36,11
205,36,9
207,34,9
208,32,10
211,28,11
213,27,10
213,28,9
212,29,9
211,31,8
212,32,6
213,32,5
212,34,4
214,33,3
206,38,6
206,39,5
209,36,5
205,39,6
209,35,6
211,33,6
212,32,6
215,29,6
213,31,6
213,31,6
216,28,6
215,30,5
216,29,5
218,27,5
218,28,4
199,43,8
204,38,8
202,41,7
201,42,7
205,38,7
206,37,7
205,37,8
209,33,8
209,33,8
211,31,8
213,28,9
213,28,9
216,25,9
217,24,9
219,22,9
219,22,9
219,22,9
217,26,7
210,33,7
212,31,7
212,31,7
212,32,6
214,30,6
216,28,6
217,27,6
216,29,5
216,29,5
216,29,5
220,25,5
222,23,5
222,24,4
210,34,6
213,30,7
212,32,6
215,29,6
213,32,5
211,34,5
214,31,5
214,31,5
214,32,4
216,28,6
214,31,5
216,29,5
215,31,4
217,29,4
219,28,3
213,32,5
212,34,4
212,35,3
196,44,10
196,44,10
194,48,8
196,47,7
196,47,7
199,44,7
200,43,7
201,42,7
205,38,7
206,37,7
205,38,7
209,34,7
209,34,7
210,33,7
209,35,6
195,41,14
194,42,14
194,43,13
196,41,13
197,41,12
194,43,13
194,43,13
194,42,14
193,44,13
194,42,14
193,44,13
193,45,12
196,41,13
199,40,11
199,41,10
200,40,10
200,40,10
200,41,9
199,43,8
200,42,8
202,41,7
203,41,6
194,45,11
194,45,11
194,44,12
197,41,12
198,40,12
198,40,12
197,41,12
198,41,11
199,41,10
199,43,8
204,39,7
190,50,10
192,49,9
194,47,9
196,45,9
197,44,9
199,42,9
200,41,9
202,39,9
204,37,9
204,38,8
205,37,8
206,38,6
207,37,6
211,33,6
209,34,7
211,32,7
208,36,6
206,38,6
208,36,6
210,34,6
211,34,5
213,32,5
214,33,3
215,32,3
217,30,3
212,25,13
213,25,12
