Wealth,Population
0.0,250
0.0,250
0.0,250
1.0,250
1.0,250
1.0,250
2.0,250
2.0,250
3.0,250
3.0,250
3.0,250
3.0,250
3.0,250
3.0,250
4.0,250
4.0,250
4.0,250
4.0,250
4.0,250
4.0,250
4.0,250
4.25,250
5.0,250
5.0,250
5.0,250
5.0,250
6.0,250
6.0,250
6.0,250
6.0,250
6.0,250
6.0,250
6.0,250
6.5,250
6.5,250
7.0,250
7.0,250
7.0,250
7.0,250
7.0,250
7.0,250
8.0,250
8.0,250
8.0,250
8.0,250
8.0,250
8.0,250
8.0,250
8.0,250
9.5,250
10.0,250
10.0,250
10.0,250
10.0,250
10.0,250
10.0,250
11.0,250
11.0,250
11.0,250
11.0,250
11.0,250
11.0,250
11.0,250
11.5,250
11.5,250
12.0,250
12.0,250
12.0,250
12.0,250
12.0,250
12.0,250
12.0,250
13.0,250
13.0,250
13.0,250
14.0,250
14.0,250
14.0,250
14.0,250
14.0,250
14.5,250
15.0,250
15.0,250
15.0,250
15.0,250
15.0,250
16.0,250
16.0,250
16.0,250
16.0,250
16.0,250
16.0,250
16.0,250
17.0,250
17.0,250
17.0,250
17.25,250
18.0,250
18.0,250
18.5,250
18.5,250
19.0,250
19.0,250
19.0,250
19.0,250
19.5,250
20.0,250
20.0,250
20.0,250
20.8125,250
21.0,250
21.0,250
21.0,250
21.0,250
21.0,250
22.0,250
22.0,250
22.0,250
23.0,250
23.0,250
23.0,250
23.0,250
23.5,250
24.0,250
24.4375,250
25.0,250
25.0,250
25.0,250
25.0,250
25.0,250
25.0,250
25.5,250
26.0,250
26.0,250
26.0,250
28.0,250
29.0,250
29.0,250
29.375,250
30.0,250
30.0,250
31.0,250
31.0,250
31.0,250
31.0,250
31.0,250
31.0,250
31.5,250
31.75,250
32.0,250
33.0,250
33.0,250
34.0,250
34.0,250
35.0,250
36.0,250
38.0,250
38.0,250
39.0,250
39.0,250
39.0,250
39.0,250
39.0,250
40.0,250
41.75,250
42.0,250
42.0,250
42.0,250
42.5,250
43.0,250
43.0,250
44.0,250
45.0,250
45.0,250
46.0,250
46.0,250
47.0,250
47.0,250
48.0,250
48.5,250
49.0,250
49.5,250
49.5,250
50.0,250
50.875,250
51.0,250
51.25,250
52.0,250
52.0,250
54.0,250
54.0,250
55.0,250
56.0,250
57.0,250
58.0,250
59.0,250
60.0,250
60.0,250
60.0,250
61.0,250
62.0,250
63.5,250
64.5,250
65.0,250
66.0,250
69.0,250
69.0,250
70.0,250
71.0,250
71.0,250
74.0,250
76.5,250
76.75,250
77.0,250
79.0,250
81.0,250
81.5,250
82.5,250
86.0,250
87.0,250
88.0,250
90.0,250
90.25,250
93.0,250
93.625,250
95.0,250
98.0,250
100.0,250
100.0,250
100.5,250
102.0,250
104.0,250
105.0,250
106.0,250
109.0,250
109.0,250
110.0,250
114.5,250
116.0,250
120.0,250
126.5,250
131.0,250
134.0,250
135.0,250
137.0,250
139.0,250
141.0,250
150.25,250
156.0,250
173.0,250
