Poor,Middle,Rich
140,81,29
102,98,50
114,97,39
120,96,34
130,85,35
136,94,20
135,97,18
128,105,17
113,110,27
126,102,22
139,94,17
139,89,22
150,80,20
157,75,18
156,81,13
161,73,16
168,67,15
167,68,15
168,67,15
171,62,17
168,66,16
174,59,17
181,52,17
180,52,18
183,50,17
183,51,16
182,51,17
184,49,17
184,48,18
186,47,17
183,49,18
184,48,18
185,47,18
187,45,18
184,48,18
185,47,18
186,45,19
184,49,17
178,54,18
180,55,15
180,54,16
181,54,15
182,54,14
181,54,15
180,55,15
181,53,16
181,54,15
178,59,13
178,58,14
180,56,14
179,57,14
182,55,13
183,54,13
184,53,13
185,52,13
185,53,12
184,54,12
187,52,11
188,50,12
188,52,10
190,50,10
192,48,10
194,46,10
196,44,10
196,45,9
197,45,8
197,46,7
200,43,7
202,42,6
204,41,5
191,48,11
192,48,10
193,47,10
193,47,10
195,46,9
195,46,9
195,47,8
196,46,8
198,43,9
201,42,7
193,48,9
193,48,9
199,43,8
202,40,8
202,40,8
204,38,8
205,37,8
200,41,9
203,40,7
204,40,6
207,38,5
201,43,6
203,43,4
199,45,6
200,44,6
201,43,6
204,43,3
204,43,3
206,41,3
208,39,3
211,36,3
210,37,3
213,34,3
213,34,3
212,35,3
212,34,4
212,34,4
215,31,4
220,25,5
221,24,5
221,25,4
202,34,14
201,37,12
204,33,13
204,33,13
205,33,12
206,32,12
206,32,12
208,29,13
209,28,13
209,28,13
210,28,12
210,30,10
211,29,10
212,28,10
216,25,9
219,22,9
220,22,8
221,21,8
221,22,7
223,21,6
223,21,6
223,21,6
223,21,6
227,17,6
224,21,5
224,21,5
224,21,5
225,21,4
223,23,4
223,23,4
222,24,4
222,25,3
223,24,3
224,23,3
224,24,2
224,25,1
224,25,1
225,24,1
227,22,1
227,22,1
226,23,1
226,23,1
227,22,1
227,22,1
228,21,1
228,21,1
228,20,2
229,19,2
232,16,2
232,16,2
231,17,2
231,17,2
231,18,1
206,37,7
209,34,7
211,33,6
213,32,5
215,30,5
217,28,5
218,27,5
220,25,5
220,26,4
221,26,3
222,27,1
203,37,10
205,35,10
207,33,10
211,31,8
212,31,7
212,31,7
214,29,7
216,27,7
219,25,6
219,25,6
221,23,6
222,22,6
223,22,5
209,30,11
209,32,9
209,31,10
209,31,10
209,31,10
209,31,10
209,31,10
209,31,10
209,32,9
211,30,9
210,31,9
211,30,9
209,36,5
210,35,5
211,34,5
212,33,5
213,32,5
216,29,5
215,30,5
216,30,4
206,41,3
207,40,3
207,41,2
203,45,2
206,41,3
205,43,2
206,42,2
207,40,3
209,38,3
209,38,3
211,36,3
210,38,2
211,36,3
211,36,3
210,37,3
211,36,3
211,36,3
212,35,3
211,36,3
211,36,3
211,36,3
210,38,2
211,37,2
211,37,2
213,35,2
213,35,2
213,35,2
210,38,2
211,37,2
213,35,2
212,37,1
214,35,1
214,34,2
213,35,2
215,34,1
214,35,1
220,29,1
220,29,1
221,28,1
221,28,1
219,30,1
220,28,2
219,30,1
199,43,8
201,41,8
201,43,6
203,41,6
207,36,7
208,37,5
210,36,4
212,34,4
212,34,4
211,35,4
212,34,4
209,37,4
211,35,4
212,34,4
212,34,4
214,30,6
216,28,6
217,28,5
220,24,6
222,22,6
223,21,6
222,22,6
225,21,4
226,20,4
227,20,3
211,28,11
213,27,10
217,23,10
218,23,9
219,23,8
219,22,9
222,19,9
224,16,10
225,17,8
225,19,6
225,20,5
225,21,4
225,21,4
227,19,4
226,21,3
227,20,3
228,19,3
230,18,2
230,18,2
233,15,2
232,16,2
232,16,2
230,18,2
230,18,2
231,17,2
232,16,2
230,19,1
224,24,2
222,26,2
221,27,2
220,28,2
221,27,2
222,26,2
224,24,2
224,25,1
210,35,5
209,37,4
210,36,4
212,34,4
215,31,4
215,31,4
214,32,4
215,31,4
217,29,4
220,27,3
221,26,3
220,27,3
219,28,3
220,27,3
223,24,3
224,23,3
223,25,2
225,23,2
225,23,2
225,22,3
227,20,3
227,20,3
228,19,3
229,18,3
229,18,3
229,18,3
229,18,3
230,17,3
230,17,3
230,18,2
230,18,2
230,18,2
231,18,1
232,17,1
232,17,1
234,15,1
234,15,1
233,16,1
233,16,1
233,16,1
233,16,1
233,17,0
215,25,10
216,24,10
214,26,10
216,25,9
216,25,9
214,27,9
213,28,9
216,26,8
213,29,8
217,25,8
219,22,9
219,22,9
219,23,8
217,27,6
216,28,6
215,29,6
217,28,5
217,29,4
216,30,4
214,32,4
211,36,3
214,33,3
215,32,3
214,32,4
213,34,3
216,32,2
215,33,2
215,34,1
186,51,13
187,52,11
184,56,10
188,53,9
191,51,8
197,45,8
199,44,7
200,43,7
202,41,7
205,37,8
207,36,7
189,46,15
192,44,14
197,39,14
199,37,14
201,35,14
203,34,13
200,37,13
202,36,12
205,33,12
204,34,12
204,34,12
201,36,13
201,37,12
206,33,11
206,35,9
207,34,9
209,33,8
211,31,8
213,29,8
213,31,6
213,32,5
198,44,8
199,43,8
202,40,8
204,38,8
204,38,8
206,36,8
207,34,9
206,34,10
205,35,10
207,33,10
208,33,9
209,32,9
209,33,8
208,34,8
208,34,8
208,34,8
210,32,8
211,32,7
214,29,7
212,32,6
215,31,4
214,33,3
214,33,3
217,29,4
218,28,4
218,28,4
220,26,4
221,25,4
221,25,4
219,27,4
220,26,4
220,26,4
220,26,4
223,24,3
226,21,3
227,20,3
230,17,3
231,16,3
230,18,2
215,29,6
217,27,6
218,26,6
217,26,7
215,29,6
214,30,6
215,28,7
217,27,6
218,26,6
218,27,5
207,37,6
207,36,7
208,34,8
210,33,7
210,33,7
210,33,7
213,30,7
214,31,5
207,38,5
202,43,5
203,42,5
199,45,6
196,47,7
196,47,7
200,43,7
201,43,6
203,40,7
205,39,6
208,36,6
209,37,4
209,38,3
208,39,3
210,37,3
209,38,3
213,35,2
198,46,6
201,43,6
199,45,6
202,42,6
201,45,4
204,43,3
204,43,3
206,41,3
210,37,3
210,36,4
213,32,5
215,30,5
217,28,5
219,26,5
221,24,5
221,24,5
221,24,5
204,39,7
205,39,6
205,39,6
205,39,6
204,40,6
204,40,6
209,36,5
208,37,5
211,34,5
211,33,6
211,32,7
210,35,5
210,35,5
210,35,5
212,32,6
215,29,6
215,29,6
217,27,6
217,27,6
219,25,6
219,26,5
219,26,5
219,25,6
218,25,7
220,25,5
223,23,4
216,28,6
219,25,6
220,24,6
220,24,6
220,24,6
221,23,6
220,24,6
220,24,6
221,23,6
220,24,6
221,24,5
221,25,4
209,34,7
210,34,6
210,34,6
209,35,6
211,32,7
212,31,7
212,31,7
213,32,5
210,35,5
211,35,4
214,32,4
212,34,4
214,32,4
214,32,4
217,30,3
220,27,3
220,27,3
210,34,6
213,31,6
212,32,6
211,33,6
213,31,6
213,32,5
214,30,6
212,32,6
211,33,6
209,34,7
211,33,6
207,37,6
203,41,6
204,40,6
201,43,6
203,42,5
204,41,5
205,41,4
205,42,3
208,41,1
208,41,1
209,40,1
209,40,1
211,38,1
212,37,1
212,37,1
212,36,2
214,34,2
215,33,2
215,33,2
214,33,3
214,33,3
218,29,3
221,26,3
221,26,3
222,26,2
222,26,2
225,23,2
227,21,2
228,20,2
229,20,1
203,39,8
207,36,7
208,35,7
209,34,7
209,35,6
211,33,6
209,34,7
206,37,7
209,36,5
202,41,7
203,40,7
204,39,7
205,37,8
205,37,8
207,37,6
207,37,6
208,36,6
210,34,6
209,35,6
209,33,8
210,32,8
210,32,8
211,31,8
212,30,8
215,27,8
213,29,8
213,30,7
215,28,7
214,30,6
217,27,6
217,27,6
218,27,5
216,31,3
203,35,12
203,35,12
207,32,11
207,33,10
210,31,9
210,30,10
208,32,10
209,32,9
212,29,9
212,30,8
212,31,7
211,33,6
213,31,6
215,29,6
217,27,6
220,25,5
220,25,5
221,24,5
222,24,4
222,24,4
223,24,3
206,39,5
208,37,5
209,36,5
210,35,5
210,35,5
210,34,6
211,33,6
212,32,6
214,30,6
213,32,5
212,34,4
213,33,4
211,35,4
212,34,4
214,32,4
217,29,4
218,28,4
217,29,4
219,28,3
220,27,3
220,27,3
219,28,3
222,24,4
225,21,4
231,15,4
231,15,4
232,14,4
231,15,4
231,16,3
232,15,3
234,13,3
236,10,4
238,8,4
240,6,4
240,6,4
240,6,4
240,6,4
239,7,4
240,7,3
239,8,3
240,8,2
240,8,2
241,7,2
241,7,2
245,3,2
245,4,1
227,19,4
228,19,3
230,17,3
229,18,3
229,18,3
229,19,2
230,19,1
231,18,1
232,17,1
232,17,1
232,17,1
233,16,1
233,16,1
234,15,1
237,12,1
237,13,0
211,32,7
210,33,7
211,32,7
213,29,8
211,31,8
211,32,7
213,31,6
215,29,6
217,27,6
218,26,6
221,23,6
219,25,6
220,24,6
219,26,5
221,24,5
223,22,5
223,22,5
223,22,5
223,22,5
226,18,6
227,18,5
228,18,4
229,17,4
229,17,4
228,18,4
229,17,4
228,18,4
228,19,3
215,28,7
215,30,5
214,31,5
216,29,5
212,33,5
213,32,5
215,30,5
216,29,5
216,29,5
217,28,5
217,28,5
215,30,5
211,34,5
211,34,5
209,36,5
207,37,6
207,37,6
204,39,7
200,42,8
198,45,7
195,49,6
197,47,6
201,43,6
203,41,6
204,41,5
209,36,5
211,34,5
212,35,3
214,33,3
215,32,3
219,29,2
193,43,14
196,41,13
199,37,14
198,38,14
202,34,14
203,34,13
203,34,13
204,35,11
206,32,12
210,29,11
212,27,11
212,27,11
213,26,11
214,27,9
215,26,9
214,29,7
216,27,7
217,26,7
217,26,7
219,24,7
221,22,7
221,23,6
223,21,6
223,22,5
204,35,11
204,35,11
204,37,9
204,37,9
204,37,9
206,35,9
209,32,9
212,29,9
212,30,8
216,26,8
218,24,8
217,25,8
219,25,6
220,25,5
216,28,6
207,34,9
207,36,7
202,42,6
205,39,6
206,38,6
204,41,5
201,43,6
203,40,7
203,41,6
203,41,6
206,39,5
207,38,5
209,37,4
199,46,5
202,43,5
203,43,4
204,43,3
205,42,3
205,43,2
195,49,6
194,52,4
195,51,4
198,49,3
199,46,5
198,48,4
199,47,4
203,44,3
205,42,3
205,42,3
204,43,3
204,43,3
207,40,3
208,39,3
210,37,3
212,35,3
211,36,3
214,33,3
215,32,3
217,30,3
219,28,3
221,26,3
222,25,3
221,26,3
220,27,3
221,26,3
221,26,3
222,25,3
222,25,3
222,25,3
223,24,3
223,25,2
221,26,3
221,26,3
225,23,2
207,37,6
208,36,6
209,36,5
201,35,14
201,35,14
203,34,13
203,35,12
203,36,11
202,35,13
204,34,12
206,32,12
206,33,11
208,31,11
207,33,10
206,34,10
207,34,9
209,33,8
206,35,9
208,33,9
207,35,8
207,34,9
210,32,8
209,33,8
207,37,6
209,35,6
209,35,6
211,35,4
209,37,4
210,36,4
213,33,4
212,34,4
212,35,3
215,31,4
214,32,4
217,29,4
217,29,4
215,31,4
215,31,4
216,30,4
219,27,4
220,27,3
220,27,3
222,25,3
225,22,3
224,23,3
224,23,3
223,24,3
223,24,3
225,22,3
226,21,3
225,23,2
212,31,7
212,33,5
208,37,5
212,33,5
214,31,5
217,28,5
217,28,5
217,29,4
218,28,4
218,28,4
220,26,4
223,24,3
217,27,6
219,25,6
219,25,6
215,29,6
216,29,5
215,30,5
218,27,5
213,32,5
212,33,5
212,36,2
205,37,8
207,35,8
207,36,7
211,33,6
209,37,4
193,45,12
193,45,12
196,45,9
197,44,9
199,43,8
204,38,8
207,35,8
210,33,7
202,36,12
205,33,12
203,35,12
205,33,12
208,31,11
207,33,10
208,33,9
210,31,9
211,31,8
211,31,8
211,34,5
202,38,10
204,36,10
205,35,10
204,38,8
207,35,8
207,36,7
207,36,7
209,34,7
209,34,7
209,34,7
209,34,7
209,34,7
215,28,7
211,31,8
212,30,8
213,29,8
212,30,8
212,30,8
213,29,8
213,29,8
212,30,8
212,30,8
211,32,7
209,36,5
210,35,5
209,36,5
209,36,5
209,36,5
207,38,5
207,38,5
209,36,5
205,40,5
206,39,5
206,39,5
205,41,4
