Poor,Middle,Rich
137,86,27
120,69,61
130,83,37
125,97,28
123,92,35
137,101,12
136,105,9
150,89,11
152,87,11
171,68,11
173,66,11
176,62,12
182,58,10
185,55,10
191,50,9
198,42,10
200,41,9
199,42,9
203,39,8
203,37,10
199,41,10
199,41,10
197,42,11
197,42,11
197,42,11
195,44,11
195,45,10
195,44,11
190,48,12
186,51,13
186,51,13
187,50,13
187,51,12
188,50,12
187,51,12
188,50,12
188,49,13
186,51,13
187,50,13
187,51,12
188,51,11
189,49,12
192,45,13
189,48,13
190,48,12
191,47,12
189,50,11
189,50,11
191,50,9
191,51,8
190,53,7
191,51,8
189,55,6
189,55,6
189,55,6
191,53,6
189,54,7
191,52,7
194,50,6
193,51,6
195,48,7
195,48,7
196,48,6
197,47,6
198,46,6
197,46,7
198,45,7
200,44,6
200,44,6
201,42,7
201,42,7
200,44,6
198,46,6
199,44,7
199,45,6
201,42,7
202,44,4
203,42,5
207,38,5
208,35,7
210,35,5
205,37,8
202,40,8
201,43,6
203,43,4
201,45,4
208,39,3
212,35,3
214,34,2
191,47,12
193,45,12
194,44,12
196,42,12
197,42,11
198,41,11
199,41,10
199,42,9
197,45,8
197,46,7
198,46,6
193,51,6
196,48,6
198,45,7
201,42,7
199,44,7
203,39,8
201,42,7
205,39,6
206,39,5
207,38,5
210,36,4
210,36,4
208,38,4
207,39,4
208,37,5
212,34,4
212,34,4
211,34,5
211,34,5
209,35,6
212,33,5
212,33,5
213,32,5
216,29,5
215,29,6
217,27,6
217,28,5
218,26,6
213,30,7
211,32,7
212,30,8
213,29,8
214,28,8
215,27,8
217,25,8
219,23,8
220,23,7
207,34,9
202,39,9
207,35,8
206,36,8
208,35,7
212,32,6
205,39,6
204,42,4
207,39,4
210,36,4
211,35,4
212,33,5
217,29,4
217,28,5
216,29,5
217,28,5
216,30,4
212,35,3
214,32,4
210,36,4
215,33,2
210,36,4
212,34,4
214,32,4
212,35,3
199,40,11
203,39,8
193,42,15
194,41,15
197,39,14
197,40,13
200,37,13
202,35,13
202,36,12
203,37,10
204,36,10
205,35,10
204,36,10
209,32,9
209,32,9
207,34,9
209,32,9
210,31,9
210,31,9
209,32,9
210,32,8
212,30,8
212,31,7
213,31,6
205,37,8
206,37,7
209,34,7
208,37,5
208,37,5
209,37,4
205,39,6
207,37,6
209,35,6
209,36,5
205,41,4
204,42,4
