Wealth,Population
0.0,250
0.0,250
0.0,250
0.0,250
0.0,250
0.5,250
1.0,250
1.0,250
1.0,250
1.0,250
1.0,250
1.0,250
2.0,250
2.0,250
2.0,250
2.0,250
3.0,250
3.0,250
3.0,250
3.0,250
3.0,250
3.0,250
3.0,250
4.0,250
4.0,250
4.0,250
4.5,250
5.0,250
5.0,250
6.0,250
6.0,250
6.0,250
6.0,250
6.0,250
6.5,250
7.0,250
7.0,250
7.0,250
7.0,250
7.0,250
7.0,250
7.0,250
8.0,250
8.0,250
8.0,250
8.0,250
8.5,250
8.5,250
8.5,250
9.0,250
9.0,250
9.0,250
9.0,250
9.0,250
10.0,250
10.0,250
10.0,250
10.0,250
10.0,250
10.0,250
10.5,250
11.0,250
11.0,250
11.5,250
12.0,250
12.0,250
12.0,250
12.0,250
12.0,250
12.0,250
12.0,250
13.0,250
13.0,250
13.0,250
13.0,250
14.0,250
14.0,250
14.0,250
14.0,250
14.0,250
14.0,250
14.0,250
15.0,250
15.0,250
15.0,250
15.0,250
15.0,250
15.5,250
15.5,250
16.0,250
16.0,250
16.0,250
16.0,250
16.0,250
16.0,250
16.0,250
16.0,250
16.0625,250
17.0,250
17.0,250
17.0,250
17.0,250
17.5,250
18.0,250
18.0,250
18.0,250
18.0,250
19.0,250
19.0,250
19.0,250
19.25,250
20.0,250
20.0,250
20.75,250
21.0,250
21.0,250
21.0,250
21.0,250
21.5,250
21.5,250
22.0,250
22.0,250
22.0,250
22.0,250
22.0,250
23.0,250
23.0,250
23.75,250
24.0,250
24.0,250
24.0,250
24.0,250
24.0,250
24.0,250
24.25,250
25.0,250
25.0,250
25.0,250
25.75,250
26.0,250
26.5,250
27.0,250
27.25,250
29.0,250
29.0,250
29.0,250
30.0,250
31.0,250
31.25,250
31.25,250
32.0,250
32.0,250
32.0,250
32.5,250
33.0,250
33.0,250
34.0,250
34.0,250
34.0,250
35.0,250
35.0,250
35.0,250
35.0,250
35.75,250
37.0,250
38.75,250
39.0,250
39.5,250
40.0,250
40.0,250
42.0,250
42.0,250
42.0,250
42.5,250
43.0,250
43.5,250
43.5,250
44.0,250
45.0,250
46.0,250
47.0,250
47.0,250
47.0,250
48.25,250
48.5,250
49.0,250
49.5,250
50.0,250
50.0,250
51.0,250
51.0,250
52.0,250
52.0,250
52.0,250
54.0,250
54.0,250
55.0,250
55.5,250
56.0,250
57.0,250
57.8125,250
58.0,250
58.0,250
58.0,250
58.0,250
58.0,250
60.0,250
61.0,250
62.0,250
64.0,250
64.5,250
65.0,250
65.5,250
66.0,250
68.421875,250
71.25,250
73.0,250
74.0,250
75.25,250
76.0,250
77.0,250
78.5,250
79.0,250
80.0,250
81.0,250
81.0,250
82.0,250
86.0,250
86.0,250
91.0,250
91.0,250
98.25,250
98.5,250
98.875,250
99.0,250
100.0,250
103.0,250
103.0,250
111.0,250
111.0,250
113.5,250
119.0,250
125.0,250
136.0,250
136.0,250
143.75,250
155.0,250
166.0,250
168.0,250
212.0,250
